Id,Disease,County,Year,Sex,Count,Population,Rate,CI_lower,CI_upper,Recalculated_Rate
118689,Tetanus,California,2009,Male,4,18445222,0.022000000000000002,0.006,0.055999999999999994,0.022
114932,Staphylococcus aureus Infection (cases resulting in death or ICU),California,2012,Male,60,18841496,0.318,0.243,0.41,0.318
136894,Vibrio Infection (non-Cholera),California,2006,Male,110,18028441,0.61,0.501,0.735,0.61
133530,Typhus Fever,California,2013,Female,46,19177344,0.24,0.17600000000000002,0.32,0.24
87884,Pertussis,California,2001,Male,292,17174034,1.7,1.511,1.9069999999999998,1.7
34423,Cysticercosis or Taeniasis,California,2013,Male,14,18988773,0.07400000000000001,0.04,0.124,0.074
34413,Cysticercosis or Taeniasis,California,2010,Female,16,18752748,0.085,0.049,0.139,0.085
27300,Coccidioidomycosis,California,2013,Female,1181,19177344,6.1579999999999995,5.812,6.52,6.158
131029,"Typhoid Fever, case",California,2004,Male,31,17785422,0.174,0.11800000000000001,0.247,0.174
67299,Legionellosis,California,2007,Male,82,18180620,0.451,0.359,0.56,0.451
41827,E. coli O157,California,2005,Female,97,18088355,0.536,0.435,0.654,0.536
72242,Leptospirosis,California,2012,Male,1,18841496,0.005,0.0,0.03,0.005
79631,Malaria,California,2012,Male,66,18841496,0.35,0.271,0.446,0.35
34407,Cysticercosis or Taeniasis,California,2008,Female,15,18526603,0.081,0.045,0.134,0.081
1,Amebiasis,California,2001,Female,176,17340743,1.015,0.871,1.176,1.015
82100,Measles,California,2014,Female,38,19346905,0.196,0.139,0.27,0.196
87896,Pertussis,California,2005,Male,1333,17899282,7.447,7.053,7.858,7.447
34417,Cysticercosis or Taeniasis,California,2011,Male,21,18691131,0.11199999999999999,0.07,0.172,0.112
126095,Tuberculosis,California,2008,Male,1657,18331667,9.039,8.609,9.485,9.039
24831,Ciguatera Fish Poisoning,California,2008,Male,0,18331667,0.0,0.0,0.02,0.0
4,Amebiasis,California,2002,Female,145,17555714,0.826,0.6970000000000001,0.972,0.826
14984,Brucellosis,California,2014,Female,8,19346905,0.040999999999999995,0.018000000000000002,0.081,0.041
55885,Hemolytic Uremic Syndrome,California,2006,Female,22,18220429,0.121,0.076,0.183,0.121
12517,"Botulism, Wound",California,2010,Female,1,18752748,0.005,0.0,0.03,0.005
97816,"Rabies, human",California,2009,Male,0,18445222,0.0,0.0,0.02,0.0
22368,Cholera,California,2005,Male,1,17899282,0.006,0.0,0.031,0.006
139341,Yersiniosis,California,2010,Female,29,18752748,0.155,0.10400000000000001,0.222,0.155
103656,Salmonellosis,California,2009,Male,2290,18445222,12.415,11.912,12.934000000000001,12.415
61254,HIV,California,2006,Male,5307,18028441,29.436999999999998,28.65,30.24,29.437
4977,Babesiosis,California,2005,Female,1,18088355,0.006,0.0,0.031,0.006
106073,Scombroid Fish Poisoning,California,2005,Male,9,17899282,0.05,0.023,0.095,0.05
22376,Cholera,California,2008,Female,0,18526603,0.0,0.0,0.02,0.0
103661,Salmonellosis,California,2011,Female,2076,18881056,10.995,10.527000000000001,11.478,10.995
44359,E. coli Other STEC (non-O157),California,2011,Male,114,18691131,0.61,0.503,0.733,0.61
